Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2012-13,19,CHA,NBA,SF,78,2025,14.0,.506,.015,.305,7.2,18.9,12.9,10.1,1.4,2.8,12.7,17.9,,1.1,1.0,2.1,.051,,-2.3,0.1,-2.2,-0.1
2013-14,20,CHA,NBA,SF,62,1502,12.0,.516,.025,.521,8.2,16.2,12.2,5.4,1.5,2.1,12.1,15.2,,0.9,2.2,3.1,.098,,-2.7,1.7,-0.9,0.4
2014-15,21,CHO,NBA,SF,55,1587,15.1,.519,.000,.444,7.4,21.9,14.4,8.2,1.0,1.9,9.9,18.4,,1.6,2.2,3.8,.114,,-2.2,1.3,-0.8,0.5
2015-16,22,CHO,NBA,SF,7,205,16.9,.603,.115,.475,6.3,17.8,12.0,7.3,0.7,1.2,9.8,18.0,,0.4,0.2,0.6,.152,,-0.7,-0.7,-1.4,0.0
Career,,,NBA,,202,5319,13.9,.517,.017,.407,7.5,19.0,13.1,8.1,1.3,2.2,11.5,17.3,,4.0,5.6,9.6,.087,,-2.3,0.9,-1.4,0.8
